,decoded
38702,"{'ANDREWSCOUNTYAIRPORT|OWNER|ANDREWSCOUNTY,TEXAS'}"
38703,"{'ANDREWSCOUNTYAIRPORT|OWNER|ANDREWSCOUNTY,TEXAS'}"
38704,{'ANDREWSCOUNTYAIRPORT|RUNWAYLENGTH|896'}
38705,{'ANGOLAINTERNATIONALAIRPORT|FIRSTRUNWAYSURFACETYPE|ASPHALT'}
38706,{'ANGOLAINTERNATIONALAIRPORT|FIRSTRUNWAYSURFACETYPE|ASPHALT'}
38707,{'ANGOLAINTERNATIONALAIRPORT|1STRUNWAYSURFACETYPE|ASPHALT'}
38708,{'ANTWERPINTERNATIONALAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|12'}
38709,{'ANTWERPINTERNATIONALAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|12.0'}
38710,{'ANTWERPINTERNATIONALAIRPORT|OPERATINGORGANISATION|FLEMISHGOVERNMENT'}
38711,{'ANTWERPINTERNATIONALAIRPORT|OPERATINGORGANISATION|FLEMISHGOVERNMENT'}
38712,{'ANTWERPINTERNATIONALAIRPORT|OPERATINGORGANISATION|FLEMISHGOVERNMENT'}
38713,{'APPLETONINTERNATIONALAIRPORT|RUNWAYLENGTH|2439.'}
38714,{'APPLETONINTERNATIONALAIRPORT|RUNWAYLENGTH|2439'}
38715,{'APPLETONINTERNATIONALAIRPORT|RUNWAYLENGTH|2439.0'}
38716,{'ARDMOREAIRPORT(NEWZEALAND)|RUNWAYLENGTH|518.0'}
38717,"{'ARDMOREAIRPORT,NEWZEALAND|RUNWAYLENGTH|518.0'}"
38718,{'ARDMOREAIRPORT(NEWZEALAND)|RUNWAYLENGTH|518.0'}
38719,{'ASHGABATINTERNATIONALAIRPORT|ICAOLOCATIONIDENTIFIER|UTAA'}
38720,{'ASHGABATINTERNATIONALAIRPORT|ICAOLOCATIONIDENTIFIER|UTAA'}
38721,{'ASHGABATINTERNATIONALAIRPORT|RUNWAYNAME|11/29'}
38722,{'ASHGABATINTERNATIONALAIRPORT|RUNWAYNAME|11/29'}
38723,{'ATLANTICCITYINTERNATIONALAIRPORT|OWNER|SOUTHJERSEYTRANSPORTATIONAUTHORITY'}
38724,{'ATLANTICCITYINTERNATIONALAIRPORT|OWNER|SOUTHJERSEYTRANSPORTATIONAUTHORITY'}
38725,{'ATLANTICCITYINTERNATIONALAIRPORT|OWNER|SOUTHJERSEYTRANSPORTATIONAUTHORITY'}
38726,{'ATLANTICCITYINTERNATIONALAIRPORT|RUNWAYNAME|13/31'}
38727,{'ATLANTICCITYINTERNATIONALAIRPORT|RUNWAYNAME|13/31'}
38728,{'ATLANTICCITYINTERNATIONALAIRPORT|RUNWAYNAME|13/31'}
38729,{'BELGIUM|LANGUAGE|HOLSTEINLANGUAGE'}
38730,{'BELGIUM|LANGUAGE|NETHERLANDS'}
38731,{'BELGIUM|LANGUAGE|NETHERLANDS'}
38732,"{'CURITIBA|ISPARTOF|SOUTHREGION,BRAZIL'}"
38733,{'DENMARK|DEMONYM|DÄNES'}
38734,{'DENMARK|DEMONYM|DÄNES'}
38735,{'DENMARK|DEMONYM|DÄNES'}
38736,{'FALLUJAH|COUNTRY|IRAQ'}
38737,{'FALLUJAH|COUNTRY|IRAQ'}
38738,{'FALLUJAH|COUNTRY|IRAQ'}
38739,"{'GREENVILLE,WISCONSIN|COUNTRY|UNITEDSTATES'}"
38740,"{'GREENVILLE,WISCONSIN|COUNTRY|UNITEDSTATES'}"
38741,"{'GREENVILLE,WISCONSIN|COUNTRY|UNITEDSTATES'}"
38742,"{'GREENVILLE,WISCONSIN|ISPARTOF|GRANDCHUTE,WISCONSIN'}"
38743,"{'GREENVILLE,WISCONSIN|ISPARTOF|GRANDCHUTE,WISCONSIN'}"
38744,"{'GREENVILLE,WISCONSIN|ISPARTOF|GRANDCHUTE,WISCONSIN'}"
38745,{'IRAQ|LANGUAGE|ARABIC'}
38746,{'IRAQ|LANGUAGE|ARABIC'}
38747,{'MADRID|COUNTRY|SPAIN'}
38748,{'MADRID|COUNTRY|SPAIN'}
38749,{'MADRID|COUNTRY|SPAIN'}
38750,"{'MAPLERIDGETOWNSHIP,ALPENACOUNTY,MICHIGAN|COUNTRY|UNITEDSTATES'}"
38751,"{'MAPLERIDGETOWNSHIP,ALPENACOUNTY,MICHIGAN|COUNTRY|UNITEDSTATES'}"
38752,{'PAKISTAN|LEADERNAME|SARDARAYAZSADIQ'}
38753,"{'NEWJERSEY|ISPARTOF|PORTAUTHORITYOFNEWYORKANDNEWJERSEY', 'PORTAUTHORITYOFNEWYORKANDNEWJERSEY|COUNTRY|NEWJERSEY'}"
38754,{'PORTAUTHORITYOFN.Y.ANDN.J.SERVESNEWJERSEY'}
38755,{'PORTAUTHORITYOFNEWYORKANDNEWJERSEY|REGIONSERVED|NEWJERSEY'}
38756,{'TEXAS|LARGESTCITY|HOUSTON'}
38757,{'UNITEDSTATES|BATTLES|1986BOMBINGOFLIBYA'}
38758,{'UNITEDSTATESAIRFORCE|BATTLES|1986UNITEDSTATESBOMBINGOFLIBYA'}
38759,{'UNITEDSTATESAIRFORCE|BATTLES|1986UNITEDSTATESBOMBINGOFLIBYA'}
38760,{'UNITEDSTATESAIRFORCE|TRANSPORTAIRCRAFT|BOEINGC-17GLOBEMASTERIII'}
38761,{'UNITEDSTATESAIRFORCE|TRANSPORTAIRCRAFT|BOEINGC-17GLOBEMASTERIII'}
38762,{'AARONDEER|RECORDLABEL|KILDROCKSTARS'}
38763,{'AARONDEER|RECORDLABEL|KILDROCKSTARS'}
38764,{'AARONDEER|RECORDLABEL|KILDROCKSTARS'}
38765,{'AARONTURNER|GENRE|PROGRESSIVEMETAL'}
38766,{'AARONTURNER|GENRE|PROGRESSIVEMETAL'}
38767,{'AARONTURNER|GENRE|PROGRESSIVEMETAL'}
38768,{'ABRADAB|BIRTHDATE|1978-11-12'}
38769,{'ABRADAB|BIRTHDATE|1978-11-12'}
38770,{'ABRADAB|BIRTHDATE|1978-11-12'}
38771,{'ABRADAB|BIRTHPLACE|POLAND'}
38772,{'ABRADAB|BIRTHPLACE|POLAND'}
38773,{'ABRADAB|GENRE|HIPHOPMUSIC'}
38774,{'ABRADAB|GENRE|HIPHOPMUSIC'}
38775,{'AGUSTINBARBOZA|GENRE|GUARANIA'}
38776,{'GUARANIA|GENRE|GUARANIA'}
38777,"{'AHMETERTEGUN|BIRTHPLACE|TURKEY', 'AHMETERTEGUN|BIRTHPLACE|ISTANBUL'}"
38778,{'ALANFREW|GENRE|ROCKMUSIC'}
38779,{'ALANFREWS|GENRE|ROCKMUSIC'}
38780,{'ALANFREW|GENRE|ROCKMUSIC'}
38781,{'ALBENNIEJONES|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|SAMMYPRICE'}
38782,{'ALEKSANDRAKOVAC|BIRTHPLACE|YOUGOSLAVIA'}
38783,{'ALEKSANDRAKOVAC|BIRTHPLACE|YOUGOSLAVIA'}
38784,{'ALEKSANDRAKOVAC|BIRTHPLACE|YOUGOSLAVIA'}
38785,{'ALEKSANDRAKOVAC|GENRE|RHYTHMANDBLUES'}
38786,{'ALEKSANDRAKOVAC|GENRE|RHYTHMANDBLUES'}
38787,{'ALEKSANDRAKOVAC|GENRE|RHYTHMANDBLUES'}
38788,{'ALEXDAY|GENRE|SYNTHPOP'}
38789,{'ALEXDAY|GENRE|SYNTHPOP'}
38790,{'ALEXDAY|GENRE|SYNTHPOP'}
38791,{'ALFREDOZITARROSA|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|HECTORNUMAMORAES'}
38792,{'ALFREDOZITARROSA|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|HECTORNUMAMORAES'}
38793,{'ALFREDOZITARROSA|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|HECTORNUMAMORAES'}
38794,{'ALFREDOZITARROSA|BIRTHPLACE|MONTEVIDEO'}
38795,{'ALFREDOZITARROSA|BIRTHPLACE|MONTEVIDEO'}
38796,{'ALFREDOZITARROSA|BIRTHPLACE|MONTEVIDEO'}
38797,{'ALFREDOZITARROSA|DEATHPLACE|URUGUAY'}
38798,{'ALFREDOZITARROSA|RECORDLABEL|RCARECORDS'}
38799,{'ALFREDOZITARROSA|RECORDLABEL|RCARECORDS'}
38800,{'ALFREDOZITARROSA|RECORDLABEL|RCARECORDS'}
38801,{'ALISONODONNELL|GENRE|JAZZ'}
38802,{'ALISONODONNELL|GENRE|JAZZ'}
38803,"{'ALISONODONNELL|INSTRUMENT|AUTOHARP', 'ALISONODONNELL|GENRE|SOUNDHRAN', 'ALISONODONNELL|INSTRUMENT|PERCUSSION'}"
38804,"{'ALISONODONNELL|GENRE|MUSIK', 'ALISONODONNELL|INSTRUMENT|SINGING,BODHRAN,PERCUSSION,AUTOHARP'}"
38805,"{'ALISONODONNELL|INSTRUMENT|SINGING', 'ALISONODONNELL|INSTRUMENT|BODHRAN,PERCUSSION,AUTOHARP'}"
38806,{'ALLENFORREST|BIRTHDATE|1981-02-04'}
38807,{'ALLENFORREST|BIRTHDATE|1981-02-04'}
38808,{'ALLENFORREST|BIRTHDATE|1981-02-04'}
38809,{'ALLIGATORRECORDS|LOCATION|CHICAGO'}
38810,{'ALLIGATORRECORDS|LOCATION|CHICAGO'}
38811,{'ALLIGATORRECORDS|LOCATION|CHICAGO'}
38812,{'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|JOHNNYSANSONE'}
38813,{'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|JOHNNYSANSONE'}
38814,{'ANDERSOSBORNE|GENRE|RHYTHMANDBLUES'}
38815,{'ANDERSOSBORNE|GENRE|RHYTHMANDBLUES'}
38816,{'ANDERSOSBORNE|GENRE|RHYTHMANDBLUES'}
38817,{'ANDRA(SINGER)|GENRE|RHYTHMANDBLUES'}
38818,{'ANDRA(MUSICIAN)|GENRE|RHYTHMANDBLUES'}
38819,{'ANDRA(SINGER)|GENRE|RHYTHMANDBLUES'}
38820,{'ANDREWRAYEL|ACTIVEYEARSSTARTYEAR|2009'}
38821,{'ANDREWRAYEL|ACTIVEYEARSSTARTYEAR|2009'}
38822,{'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|CHRISTIANBURNS'}
38823,"{'CHRISTIANBURNS|GENRE|ANDREWRAYEL', 'ANDREWRAYEL|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|ANDREWRAYEL'}"
38824,{'ANDREWWHITE(MUSICIAN)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MARRYBANILOW'}
38825,{'ANDREWWHITE(MUSICIAN)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MARRYBANILOW'}
38826,{'ANDREWWHITE(MUSICIAN)|RECORDLABEL|B-UNIQUERECORDS'}
38827,{'ANDREWWHITE(MUSICIAN)|RECORDLABEL|B-UNIQUERECORDS'}
38828,{'CHRISTIANBURNS|INSTRUMENT|GUITAR'}
38829,{'CHRISTIANBURNS|INSTRUMENT|GUITAR'}
38830,{'HIPHOPMUSIC|STYLISTICORIGIN|FUNK'}
38831,{'HIPHOPMUSIC|STYLISTICORIGIN|FUNK'}
38832,{'HIPHOPMUSIC|STYLISTICORIGIN|FUNK'}
38833,{'INDIEROCK|STYLISTICORIGIN|NEWWAVEMUSIC'}
38834,{'INDIEROCK|STYLISTICORIGIN|NEWWAVEMUSIC'}
38835,{'MANCHESTER|ISPARTOF|GREATERMANCHESTER'}
38836,{'MANCHESTER|ISPARTOF|GREATERMANCHESTER'}
38837,{'MANCHESTER|ISPARTOF|GREATERMANCHESTERAREA'}
38838,{'POLYDORRECORDS|LOCATION|LONDON'}
38839,{'POLYDORRECORDS|LOCATION|LONDON'}
38840,{'POLYDOR|LOCATION|LONDON'}
38841,{'RCARECORDS|DISTRIBUTINGCOMPANY|SAMSUNGMUSICENTERTAINMENT'}
38842,{'RCARECORDS|DISCOVERER|SAMSUNGMUSICENTERTAINMENT'}
38843,{'ROCKANDROLLMUSIC|STYLISTICORIGIN|BLUES'}
38844,{'ROCKANDROLL|STYLISTICORIGIN|BLUES'}
38845,{'ROCKANDROLL|STYLISTICORIGIN|BLUES'}
38846,{'SYNTHPOP|GENRE|POPMUSIC'}
38847,{'SYNTHPOP|STYLISTICORIGIN|POPMUSIC'}
38848,{'SYNTHPOP|STYLISTICORIGIN|POPMUSIC'}
38849,{'ALANBEAN|NATIONALITY|UNITEDSTATES'}
38850,{'ALANBEAN|NATIONALITY|UNITEDSTATES'}
38851,{'ALANBEAN|NATIONALITY|AMERICANS'}
38852,{'ALANBEAN|NATIONALITY|UNITEDSTATES'}
38853,{'ALANBEAN|NATIONALITY|UNITEDSTATES'}
38854,"{'APOLLO8|BACKUPPILOT|BUZZALDRIN', 'BUZZALDRIN|WASACREWMEMBEROF|APOLLO8'}"
38855,{'BUZZALDRIN|BACKUPPILOT|APOLLO8'}
38856,"{'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY,SC.D.1963'}"
38857,"{'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY,SC.D.1963'}"
38858,"{'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY,SC.D.1963'}"
38859,"{'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY,SC.D.1963'}"
38860,"{'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY', 'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY,M.S.1963'}"
38861,{'BUZZALDRIN|WASACREWMEMBEROF|APOLLO11'}
38862,{'BUZZALDRIN|WASACREWMEMBEROF|APOLLO11'}
38863,{'BUZZALDRIN|WASACREWMEMBEROF|APOLLO11'}
38864,{'BUZZALDRIN|WASSELECTEDBYNASA|1963'}
38865,{'BUZZALDRIN|WASSELECTEDBYNASA|1963'}
38866,{'BUZZALDRIN|WASSELECTEDBYNASA|1963'}
38867,{'BUZZALDRIN|WASSELECTEDBYNASA|1963'}
38868,{'CALIFORNIA|STONE|BENITOITE'}
38869,{'BENITOITE|COUNTRY|CALIFORNIA'}
38870,{'BENITOITE|COUNTRY|CALIFORNIA'}
38871,{'BENITOITE|COUNTRY|CALIFORNIA'}
38872,{'ELLIOTSEE|DEATHDATE|1966-02-28'}
38873,{'ELLIOTSEE|DEATHDATE|1966-02-28'}
38874,{'ELLIOTSEE|DEATHDATE|1966-02-28'}
38875,{'ELLIOTSEE|DEATHYEAR|1966-02-28'}
38876,{'ELLIOTSEE|DEATHDATE|1966-02-28'}
38877,{'ELLIOTSEE|DEATHDATE|1966-02-28'}
38878,{'ELLIOTSEE|DEATHPLACE|ST.LOUIS'}
38879,{'ELLIOTSEE|DEATHPLACE|ST.LOUIS'}
38880,{'ELLIOTSEE|DEATHPLACE|ELLIOTSEE'}
38881,{'ELLIOTSEE|DEATHPLACE|ELLIOTSEE'}
38882,{'ELLIOTSEE|DEATHPLACE|ELLIOTSEE'}
38883,{'AARONHUNT|CLUB|SVWERDERBREMEN'}
38884,{'AARONHUNT|CLUB|SVWERDERBREMEN'}
38885,{'AARONHUNT|CLUB|SVWERDERBREMEN'}
38886,{'ABNER(FOOTBALLER)|BIRTHPLACE|BRAZIL'}
38887,{'ABNER(FOOTBALLER)|BIRTHPLACE|BRAZIL'}
38888,{'ABNER(FOOTBALLER)|BIRTHPLACE|BRAZIL'}
38889,{'ADAMMAHER|BIRTHPLACE|NETHERLANDS'}
38890,{'ADAMMAHER|CLUB|NETHERLANDSNATIONALUNDER-17FOOTBALLTEAM'}
38891,{'ADAMMAHER|CLUB|NETHERLANDSNATIONAL(CLUB)'}
38892,{'ADAMMAHER|CLUB|PSVEINDHOVEN'}
38893,{'AHMADKADHIMASSAD|CLUB|IRAQNATIONALFOOTBALLTEAM'}
38894,{'AHMADKADHIMASSAD|REGION|IRAQNATIONALFOOTBALLTEAM'}
38895,{'AHMADKADHIM|CLUB|IRAQINATIONALFOOTBALLTEAM'}
38896,{'AKEEMADAMS|BIRTHPLACE|PUNCTIONFORTIN'}
38897,{'AKEEMADAMS|BIRTHPLACE|POINTFORTIN'}
38898,{'AKEEMDENT|FORMERTEAM|ATLANTAFALCONS'}
38899,{'AKEEMDENT|CLUB|ATLANTAFALCONS'}
38900,{'AKEEMPRIESTLEY|CLUB|CONNECTICUTHUSKIES'}
38901,{'AKEEMPRIESTLEY|CLUB|CONNECTICUTHUSKIES'}
38902,{'AL-ZAWRAASC|MANAGER|BASIMQASIM'}
38903,{'AL-ZAWRAASC|MANAGER|BASIMQASIM'}
38904,{'AL-ZAWRAASC|MANAGER|BASIMQASIM'}
38905,{'ALKHARAITIYATSC|LEAGUE|QATARSTARSLEAGUE'}
38906,{'ALAAABDUL-ZAHRA|CLUB|SANATMESKERMANF.C.'}
38907,{'ALAAABDUL-ZAHRA|CLUB|SANATMESKERMANF.C.'}
38908,{'ALANMARTIN(FOOTBALLER)|CLUB|HAMILTONACADEMICALF.C.'}
38909,{'ALANMARTIN(FOOTBALLER)|CLUB|HAMILTONACADEMICALF.C.'}
38910,{'ALANMARTIN(FOOTBALLER)|CLUB|HAMILTONACADEMICALF.C.'}
38911,{'ALANMARTIN(FOOTBALLER)|CLUB|SCOTLANDNATIONALUNDER-19FOOTBALLTEAM'}
38912,{'ALANMARTIN(FOOTBALLER)|CLUB|SCOTLANDNATIONALUNDER-19FOOTBALLTEAM'}
38913,"{'ALEKSANDERBARKOV,JR.|BIRTHDATE|1995-09-02'}"
38914,"{'ALEKSANDERBARKOV,JR.|BIRTHDATE|1995-09-02'}"
38915,"{'ALEKSANDERBARKOV,JR.|HEIGHT|1.905'}"
38916,"{'ALEKSANDERBARKOV,JR.|HEIGHT|1.905'}"
38917,"{'ALEKSANDERBARKOV,JR.|HEIGHT|1.905'}"
38918,{'ALEKSANDRPRUDNIKOV|BIRTHDATE|1989-02-24'}
38919,{'ALEKSANDRPRUDNIKOV|BIRTHDATE|1989-02-24'}
38920,{'ALEKSANDRPRUDNIKOV|BIRTHYEAR|1989-02-24'}
38921,{'ALEKSANDRPRUDNIKOV|CLUB|FCAMKARPERM'}
38922,{'ALEKSANDRPRUDNIKOV|CLUB|FCAMKARPERM'}
38923,{'ALEKSANDREGURULI|BIRTHPLACE|BATUMI'}
38924,{'ALEKSANDREGURULI|BIRTHPLACE|BATUMI'}
38925,{'ALEKSANDREGURULI|CLUB|GEORGIANATIONALUNDER-21FOOTBALLTEAM'}
38926,{'ALEKSANDREGURULI|CLUB|GEORGIANATIONALUNDER-21FOOTBALLTEAM'}
38927,{'ALEKSANDREGURULI|CLUB|GEORGIANATIONALUNDER-21TEAM'}
38928,{'ALESSIOROMAGNOLI|CLUB|A.S.ROMA'}
38929,{'ALESSIOROMAGNOLI|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|A.S.ROMA'}
38930,{'ALESSIOROMAGNOLI|YOUTHCLUB|A.S.ROMA'}
38931,{'ALESSIOROMAGNOLI|YOUTHCLUB|A.S.ROMA'}
38932,{'ALESSIOROMAGNOLI|YOUTHCLUB|ASROMA'}
38933,{'ALEXTYUS|LEAGUE|TURKISHBASKETBALLSUPERLEAGUE'}
38934,{'ALEXTYUS|LEAGUE|TURKISHBASKETBALLSUPERLEAGUE'}
38935,{'ALEXTYUS|LEAGUE|TURKISHBASKETBALLSUPERLEAGUE'}
38936,{'ATLANTAFALCONS|LOCATION|ATLANTA'}
38937,{'ATLANTAFALCONS|CITY|ATLANTA'}
38938,{'BOSTONBRUINS|GENERALMANAGER|DONSWEENEY'}
38939,{'BOSTONBRUINS|GENERALMANAGER|DONSWEENEY'}
38940,{'BOSTONBRUINS|GENERALMANAGER|DONSWEENEY'}
38941,{'CANADA|LANGUAGE|ENGLISHLANGUAGE'}
38942,{'CANADA|LANGUAGE|ENGLISHLANGUAGE'}
38943,{'CANADA|LANGUAGE|ENGLISHLANGUAGE'}
38944,{'CANADA|LANGUAGE|SLAVEY'}
38945,{'CANADA|LANGUAGE|SLAVEYLANGUAGE'}
38946,{'CANADA|LANGUAGE|SLAVEY'}
38947,{'FCKARPATYLVIV|MANAGER|OLEHLUZHNY'}
38948,{'FCKARPATYLVIV|MANAGER|OLEHLUZHNY'}
38949,{'FERENCVAROSITC|CHAIRMAN|GABORKUBATOV'}
38950,{'FERENCVAROSITC|CHAIRMAN|GABORKUBATOV'}
38951,{'FINLAND|LANGUAGE|FINLAND'}
38952,{'FINLAND|LANGUAGE|FINNISHLANGUAGE'}
38953,{'ITALIANNATIONALUNDER-16FOOTBALLTEAM|COACH|DANIELZORATTO'}
38954,{'ITALYNATIONALUNDER-16FOOTBALLTEAM|COACH|DANIELZORATTO'}
38955,"{'MACCABIASHDOD|COACH|ZVISHERF', 'MACCABIASHDOD|COUNTRY|BRITISHCOLUMBIA'}"
38956,{'MACCABIASHDODB.C.|COACH|ZVISHERF'}
38957,{'MACCABIASHDODBC|COACH|ZVISHERF'}
38958,{'MOTHERWELLF.C.|GROUND|FIRPARK'}
38959,{'MOTHERWELLF.C.|GROUND|FIRPARK'}
38960,{'MOTHERWELLF.C.|GROUND|FIRPARK'}
38961,{'OLYMPIQUELYONNAIS|OWNER|JEAN-MICHELAULAS'}
38962,{'OLYMPIQUELYONNAIS|OWNER|JEAN-MICHELAULAS'}
38963,{'OLYMPIQUELYONNAIS|OWNER|JEAN-MICHELAULAS'}
38964,{'ST.LOUISRAMS|CITY|ST.LOUIS'}
38965,"{'ST.LOUISRAMS|COUNTRY|UNITEDSTATES', 'ST.LOUISRAMS|CITY|ST.LOUIS'}"
38966,"{'TENNESSEETITANS|LOCATION|TNNASHVILLE,TENNESSEE'}"
38967,"{'TENNESSEETITANS|CITY|NASHVILLE,TENNESSEE'}"
38968,"{'TENNESSEETITANS|COUNTRY|UNITEDSTATES', 'TENNESSEETITANS|CITY|NASHVILLE,TENNESSEE'}"
38969,{'11DIAGONALSTREET|LOCATION|SOUTHAFRICA'}
38970,{'11DIAGONALSTREET|LOCATION|SOUTHAFRICA'}
38971,{'250DELAWAREAVENUE|ARCHITECTURALSTYLE|POSTMODERNARCHITECTURE'}
38972,{'250DELAWAREAVENUE|ARCHITECTURALSTYLE|POSTMODERN'}
38973,{'300NORTHLASALLE|LOCATION|CHICAGO'}
38974,{'320SOUTHBOSTONBUILDING|ARCHITECT|GEORGEWINKLER'}
38975,{'320SOUTHBOSTONBUILDING|ARCHITECT|GEORGEWINKLER'}
38976,{'320SOUTHBOSTONBUILDING|YEAROFCONSTRUCTION|1910'}
38977,{'320SOUTHBOSTONBUILDING|CONSTRUCTIONSTARTYEAR|1910'}
38978,{'ACHOTELBELLASKYCOPENHAGEN|NUMBEROFROOMS|814'}
38979,{'ACHOTELBELLASKYCOPENHAGEN|NUMBEROFROOMS|814'}
38980,"{'JAMESPAIN|ARCHITECT|GEORGERICHARDPAIN', 'ADAREMANOR|ARCHITECT|JAMESPAIN'}"
38981,"{'ADAREMANOR|ARCHITECT|JAMESPAIN', 'JAMESPAIN|OFFICE(WORKEDAT,WORKEDAS)|ARCHITECT|GEORGERICHARDPAIN'}"
38982,"{'ADAREMANOR|ARCHITECT|JAMESPAIN', 'JAMESPAIN|ALTERNATIVENAME|GEORGERICHARDPAIN'}"
38983,{'ADISHAMHALL|LOCATION|HAPUTALE'}
38984,{'AKITAMUSEUMOFART|LOCATION|JAPAN'}
38985,{'ALANB.MILLERHALL|OWNER|COLLEGEOFWILLIAM&MARY'}
38986,"{'AMDAVADNIGUFA|ADDRESS|LALBHAIDALPATBHAICAMPUS,NEARCEPTUNIVERSITY,OPP.GUJARATUNIVERSITY,UNIVERSITYROAD'}"
38987,"{'AMDAVADNIGUFA|ADDRESS|LALBHAIDALPATBHAICAMPUS,NEARCEPTUNIVERSITY,OPP.GUJARATUNIVERSITY,UNIVERSITYROAD'}"
